Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
25-34,Female,Working Professional,"20,000–50,000",Metro,Rarely,Beer,Neutral,Online,Social gatherings,Pineapple,Glass bottle,Pack of 12,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Very likely,"Poor packaging,Limited flavour options",No,Yes,Occasionally,No,Retail shop
35-44,Male,Working Professional,">1,00,000",Tier 2,Occasionally,"Whiskey,Cocktails",Likely,Retail shop,Restaurants,Mango,Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Very unlikely,Limited flavour options,Yes,Maybe,Often,Yes,Bar
25-34,Female,Homemaker,"20,000–50,000",Tier 1,Rarely,Rum,Likely,Retail shop,Restaurants,"Orange,Classic,Pineapple",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Likely,Lack of availability,Yes,Yes,Often,No,Retail shop
45-54,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Beer,Likely,Restaurant,Outdoors,"Classic,Berry,Mango",Can,Pack of 2,Not interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Neutral,"Health concerns,Limited flavour options",Maybe,Maybe,Always,No,Retail shop
45-54,Male,Working Professional,"<20,000",Metro,Occasionally,Whiskey,Very likely,Retail shop,At home,"Berry,Orange,Mint",No preference,Pack of 12,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹200–₹300,Unlikely,Limited flavour options,Maybe,Yes,Often,Yes,Retail shop
25-34,Male,Student,"20,000–50,000",Tier 2,Frequently,Cocktails,Likely,Online,Bars/Pubs,"Litchi,Coffee,Lime",Can,Pack of 2,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Yes,₹100–₹200,Very likely,"Poor packaging,Limited flavour options",Yes,Yes,Always,Yes,Online
35-44,Female,Other,"50,000–1,00,000",Tier 1,Occasionally,"Whiskey,Vodka,Beer",Unlikely,Bar,At home,Mango,Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Doesn’t matter,<₹100,Very likely,"Health concerns,Lack of availability",No,Maybe,Occasionally,Yes,Retail shop
25-34,Prefer not to say,Entrepreneur,"20,000–50,000",Metro,Occasionally,"Vodka,Beer,Cocktails",Likely,Online,Restaurants,"Berry,Pineapple,Orange",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,Yes,>₹300,Likely,"Not enough information/branding,Lack of availability",No,Yes,Occasionally,No,Other
25-34,Non-binary/Other,Working Professional,"20,000–50,000",Tier 3/Rural,Never,Beer,Likely,Online,At home,"Pineapple,Lime,Orange",Glass bottle,Pack of 6,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Yes,<₹100,Unlikely,"High price,Not enough information/branding,Lack of availability",Yes,Yes,Always,Yes,Bar
25-34,Male,Entrepreneur,"20,000–50,000",Tier 2,Frequently,"Beer,Whiskey,Gin",Neutral,Online,Bars/Pubs,Berry,Glass bottle,Pack of 12,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Extremely,Yes,₹200–₹300,Very likely,"Limited flavour options,Health concerns,High price",No,Maybe,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Cocktails,Vodka",Likely,Bar,At home,"Guava,Lime",Can,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Not at all,No,₹100–₹200,Likely,"Lack of availability,Limited flavour options,Not enough information/branding",Yes,No,Often,No,Online
18-24,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Cocktails,Whiskey,Beer",Likely,Restaurant,Bars/Pubs,"Lime,Litchi",Glass bottle,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Yes,₹200–₹300,Likely,"High price,Limited flavour options",Yes,Yes,Often,No,Retail shop
25-34,Female,Student,"20,000–50,000",Metro,Occasionally,"Cocktails,Whiskey,Beer",Very unlikely,Retail shop,At home,"Mango,Lime",Glass bottle,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,No,₹100–₹200,Very likely,Lack of availability,Yes,No,Occasionally,Yes,Other
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Rum,Likely,Pub,Social gatherings,Lime,Glass bottle,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,No,₹200–₹300,Likely,Poor packaging,Maybe,Maybe,Often,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Gin,Whiskey",Very likely,Bar,Restaurants,Mango,Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very likely,"Lack of availability,High price,Limited flavour options",Maybe,Yes,Often,Yes,Retail shop
